iter	Passed	Remaining
1465	221680	80748
1466	221813	80590
1467	221952	80435
1468	222060	80268
1469	222206	80115
1470	222352	79962
1471	222509	79813
1472	222680	79668
1473	222816	79512
1474	222975	79364
1475	223121	79211
1476	223234	79046
1477	223368	78889
1478	223469	78720
1479	223595	78560
1480	223726	78402
1481	223833	78235
1482	223950	78072
1483	224082	77915
1484	224222	77760
1485	224345	77600
1486	224473	77441
1487	224590	77278
1488	224706	77115
1489	224836	76957
1490	224949	76793
1491	225049	76625
1492	225173	76465
1493	225292	76303
1494	225438	76151
1495	225586	75999
1496	225719	75842
1497	225843	75683
1498	225965	75522
1499	226069	75356
1500	226202	75199
1501	226318	75037
1502	226452	74881
1503	226575	74721
1504	226705	74564
1505	226832	74405
1506	226959	74247
1507	227153	74111
1508	227275	73951
1509	227410	73795
1510	227541	73638
1511	227669	73480
1512	227805	73325
1513	227946	73171
1514	228067	73011
1515	228199	72855
1516	228299	72688
1517	228429	72531
1518	228558	72374
1519	228697	72220
1520	228824	72062
1521	228954	71905
1522	229082	71748
1523	229268	71608
1524	229439	71464
1525	229585	71313
1526	229757	71169
1527	229897	71015
1528	230028	70859
1529	230168	70705
1530	230313	70553
1531	230447	70397
1532	230601	70248
1533	230732	70092
1534	230857	69934
1535	231020	69787
1536	231163	69634
1537	231307	69482
1538	231433	69324
1539	231575	69171
1540	231700	69014
1541	231852	68864
1542	231998	68712
1543	232128	68556
1544	232275	68404
1545	232439	68258
1546	232598	68110
1547	232738	67957
1548	232882	67804
1549	233000	67645
1550	233124	67487
1551	233247	67329
1552	233363	67168
1553	233501	67015
1554	233624	66857
1555	233739	66696
1556	233876	66542
1557	233998	66384
1558	234133	66230
1559	234269	66076
1560	234418	65925
1561	234553	65770
1562	234690	65617
1563	234821	65461
1564	234940	65303
1565	235062	65144
1566	235194	64989
1567	235304	64828
1568	235442	64675
1569	235579	64521
1570	235717	64368
1571	235834	64209
1572	235973	64056
1573	236112	63903
1574	236259	63752
1575	236406	63601
1576	236530	63444
1577	236657	63288
1578	236788	63133
1579	236938	62983
1580	237077	62830
1581	237221	62679
1582	237414	62540
1583	237577	62394
1584	237701	62237
1585	237824	62080
1586	237948	61923
1587	238083	61769
1588	238219	61616
1589	238350	61461
1590	238489	61308
1591	238624	61154
1592	238759	61001
1593	238872	60842
1594	239002	60687
1595	239121	60529
1596	239254	60375
1597	239411	60227
1598	239550	60074
1599	239683	59920
1600	239807	59764
1601	239923	59606
1602	240044	59449
1603	240189	59298
1604	240324	59145
1605	240465	58993
1606	240604	58840
1607	240742	58688
1608	240879	58535
1609	241014	58382
1610	241160	58231
1611	241299	58079
1612	241435	57926
1613	241558	57770
1614	241698	57618
1615	241836	57466
1616	241980	57315
1617	242116	57162
1618	242243	57007
1619	242444	56869
1620	242665	56736
1621	242793	56582
1622	242957	56435
1623	243100	56284
1624	243229	56129
1625	243344	55972
1626	243479	55819
1627	243614	55666
1628	243747	55512
1629	243873	55357
1630	244002	55203
1631	244148	55053
1632	244276	54898
1633	244438	54751
1634	244572	54598
1635	244709	54446
1636	244850	54294
1637	245001	54145
1638	245146	53994
1639	245288	53843
1640	245437	53694
1641	245564	53539
1642	245728	53393
1643	245879	53243
1644	246009	53090
1645	246160	52940
1646	246325	52794
1647	246450	52639
1648	246584	52487
1649	246729	52336
1650	246846	52180
1651	246971	52025
1652	247115	51874
1653	247242	51720
1654	247386	51569
1655	247515	51416
1656	247633	51260
1657	247765	51107
1658	247903	50955
1659	248056	50806
1660	248202	50656
